label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,ltable_Year,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director,rtable_Year
-1,3195,3753,7173,Match of the Day 2,Sport,45,78.0,518.0,,2004,Man of the House,"Action,Adventure,Comedy",100.0,60.0,61553,"Stephen Herek,",2005
-1,4963,6471,17260,Assassin's Creed 2,"Action,Adventure,History",0,,,,,Assassin's Bullet,"Action,Adventure,Drama,Mystery",89.0,38.0,421,"Isaac Florentine,",2012
-1,8788,12263,5125,The Man Who Wasn't There,"Crime,Drama",116,76.0,86916.0,"Joel Coen,Ethan Coen",2001,The Man Who Wasn't There,"Comedy,Drama,Romance",117.0,74.0,40889,"Joel Coen,",2001
-1,5999,7664,3744,One True Thing,Drama,127,70.0,9403.0,Carl Franklin,1998,One Eyed King,Drama,105.0,56.0,90,"Robert Moresco,Nathaniel Ryan,",2001
-1,12650,19776,14865,Street Hawk,"Action,Crime,Mystery",60,69.0,1919.0,"Paul M. Belous,Robert Wolterstorff,Bruce Lansbury",1985,Street Poet,Drama,87.0,,0,"E. Paul Edwards,",2010
-1,3936,5069,7936,The Love Witch,"Comedy,Horror",120,67.0,146.0,Anna Biller,2016,The Love Inside,,90.0,,1,"Andy Irvine,Mark Smoot,",2015
-1,5151,6677,3676,The Adventures of Nick,Animation,0,78.0,26.0,,2013,The Adventures of Pluto Nash,"Action,Adventure,Comedy,Science Fiction,Fantasy",94.0,40.0,32635,"Ron Underwood,",2002
-1,10924,16637,13036,Spy Game,"Action,Crime,Mystery",126,70.0,122430.0,Tony Scott,2001,Poet Game,"Art House,International,Drama,Television",,,7,"Silvio Narizzano,",1972
-1,8995,12636,1763,After Lately,Comedy,0,70.0,490.0,,2011,After Darkness,"Drama,Horror",104.0,,13,"Dominique Othenin-Girard,",1985
-1,7384,9803,12298,The Invisible Man,"Comedy,Mystery,Sci-Fi",120,76.0,2436.0,,2000,The Invisible Circus,"Drama,Mystery",92.0,60.0,3688,"Adam Brooks,",2001
-1,7144,9433,5125,The Man Who Forgot His Wife,Drama,0,,,,,The Man Who Wasn't There,"Comedy,Drama,Romance",117.0,74.0,40889,"Joel Coen,",2001
-1,7701,10323,15988,"George Lopez: It's Not Me, It's You","Documentary,Comedy",56,56.0,174.0,Troy Miller,2012,"George Lopez: It's Not Me, It's You",Television,56.0,72.0,39,"Troy Miller,",2012
-1,1065,1149,1242,Still Walking,Drama,115,80.0,7618.0,Hirokazu Koreeda,2008,Still Mine,Drama,102.0,80.0,8060,"Michael McGowan,",2013
-1,10699,16200,3550,Mysteries at the Monument,"Biography,History,Mystery",60,77.0,187.0,,2013,Mysteries Of The Unseen World,"Documentary,Special Interest",40.0,80.0,188,"Louis Schwartzberg,",2013
-1,9578,13656,7720,American Me,"Biography,Crime,Drama",125,72.0,5967.0,Edward James Olmos,1992,American Me,Drama,126.0,82.0,10214,"Edward James Olmos,",1992
-1,5320,6843,15387,Father of the Bride Part II,"Comedy,Family,Romance",106,59.0,27000.0,Charles Shyer,1995,Mother of the Bride,Comedy,95.0,,77,"Charles Correll,",1993
-1,8224,11349,13437,Shadow Conspiracy,"Action,Mystery",103,49.0,3827.0,George P. Cosmatos,1997,Shadow Conspiracy,"Action,Adventure,Drama,Mystery",103.0,52.0,2937,"George P. Cosmatos,",1997
-1,2563,2764,237,Alien: Covenant,"Action,Adventure,Horror",0,,,Ridley Scott,2017,Alien: Covenant,"Action,Adventure,Mystery,Science Fiction,Fantasy",120.0,,17243,"Ridley Scott,",2017
-1,3675,4610,18871,A Bride for Rip Van Winkle,"Drama,Mystery,Romance",179,74.0,263.0,Shunji Iwai,2016,Rabbit Ears - Rip Van Winkle,"Animation,Kids,Family,Special Interest",30.0,,5,,1993
-1,6765,8907,18373,Captain America,"Action,Sci-Fi,War",97,33.0,8717.0,Albert Pyun,1990,Captain America,"Action,Adventure,Mystery,Science Fiction,Fantasy",103.0,42.0,10609,"Albert Pyun,",1990
-1,3906,5002,15042,My America,Drama,0,63.0,119.0,Marcello Daciano,2010,Our America,Drama,95.0,70.0,451,"Ernest R. Dickerson,",2002
-1,605,593,4293,The Bourne Ultimatum,"Action,Mystery",115,81.0,500818.0,Paul Greengrass,2007,The Bourne Ultimatum,"Action,Adventure,Drama,Mystery",115.0,82.0,1921607,"Paul Greengrass,",2007
-1,521,500,13646,Just Visiting,"Comedy,Fantasy,Sci-Fi",88,58.0,15317.0,Jean-Marie Poir,2001,Just Visiting,Comedy,87.0,58.0,9454,"Jean-Marie Poir,Jean-Marie Gaubert,",2001
-1,8137,11192,3970,Taxi 4,"Action,Comedy",91,56.0,20224.0,Grard Krawczyk,2007,Taxi 3,"Action,Adventure",84.0,64.0,9323,"Grard Krawczyk,",2003
-1,4935,6443,9823,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",169,71.0,477886.0,Gore Verbinski,2007,Pirates of the Caribbean: The Curse of the Black Pearl,"Action,Adventure,Science Fiction,Fantasy",143.0,78.0,33123343,"Gore Verbinski,",2003
-1,13402,21502,4563,All Night,"Comedy,Drama",58,61.0,46.0,Paul Powell,1918,Prom Night,Horror,91.0,58.0,20022,"Paul Lynch,",1980
-1,9940,14283,2955,That Darn Cat,"Action,Comedy,Crime",89,46.0,3356.0,Bob Spiers,1997,That Darn Cat,"Action,Adventure,Art House,International,Comedy,Kids,Family",89.0,50.0,15345,"Bob Spiers,",1997
-1,10779,16362,2138,You've Been Trumped,Documentary,95,76.0,1818.0,Anthony Baxter,2012,You've Been Trumped Too,Documentary,78.0,62.0,36,"Anthony Baxter,",2016
-1,1181,1333,11292,Untitled Shimit Amin/YRF Project,Drama,0,,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
-1,8741,12218,2374,The Return of Sabata,Western,100,57.0,1251.0,Gianfranco Parolini,1971,The Wizard of Malta,"Documentary,Special Interest",,,31,"Alex Roshuk,",1981
-1,1327,1517,2461,The Delivery Man,Comedy,30,73.0,470.0,,2015,The Ladies Man,Comedy,84.0,52.0,21146,"Reginald Hudlin,",2000
-1,2453,2705,18478,American Blood,"Crime,Drama",0,,,,,American Legends,"Animation,Kids,Family",56.0,62.0,5910,"Mark Henn,",2001
-1,6299,8068,280,Miss Julie,"Drama,Romance",129,56.0,3030.0,Liv Ullmann,2014,Miss Julie,Drama,133.0,50.0,570,"Liv Ullmann,",2014
-1,9294,13119,15955,The Great Gatsby,News,30,,,,2013,The Great Outdoors,Comedy,91.0,66.0,47995,"Howard Deutch,",1988
-1,6131,7874,2156,The Intervention,"Comedy,Drama",90,61.0,1426.0,Clea DuVall,2016,The Intervention,"Comedy,Drama",90.0,68.0,1560,"Clea DuVall,",2016
-1,9852,14112,18613,Let Me In,"Drama,Fantasy,Horror",116,72.0,93524.0,Matt Reeves,2010,Lift Me Up,Drama,,,6,"Mark S. Cartier,",2015
-1,1851,2097,8226,In Search of...,"Documentary,Sci-Fi",30,86.0,598.0,,1976,In Search of America,Drama,75.0,58.0,16,"Paul Bogart,",1971
-1,12707,19873,18594,The Other,Drama,83,60.0,455.0,Ariel Rotter,2007,The Other Man,Drama,80.0,50.0,4498,"Richard Eyre,",2008
-1,12668,19812,1617,Mississippi Grind,Drama,108,63.0,10842.0,"Anna Boden,Ryan Fleck",2015,Mississippi Grind,Drama,108.0,66.0,8015,"Ryan Fleck,Anna Boden,",2015
-1,1583,1716,5979,Austin Powers: The Spy Who Shagged Me,"Action,Adventure,Comedy",95,66.0,182887.0,Jay Roach,1999,Austin Powers: The Spy Who Shagged Me,"Comedy,Romance",105.0,66.0,941702,"Jay Roach,",1999
-1,7235,9565,1833,Erased,"Action,Mystery",100,61.0,23936.0,Philipp Stlzl,2012,Erased,"Action,Adventure,Mystery",104.0,60.0,10728,"Philipp Stlzl,",2013
-1,2726,2979,3317,Wyrd Sisters,"Animation,Comedy,Fantasy",140,72.0,703.0,,1997,Speed Sisters,Documentary,80.0,,38,"Amber Fares,Amber Fares,",2017
-1,13230,21160,12002,The Music Teacher,Drama,0,,,,,The Music Machine,"Drama,Musical,Performing Arts",90.0,,60,"Ian Sharp,",1979
-1,3129,3626,16669,Aankhen 2,Mystery,0,,,Anees Bazmee,,Taken 2,Mystery,92.0,68.0,212002,"Olivier Megaton,",2012
-1,5713,7394,449,Transformers,"Action,Adventure,Sci-Fi",144,71.0,517565.0,Michael Bay,2007,Transformers,"Action,Adventure,Science Fiction,Fantasy",143.0,82.0,2383416,"Michael Bay,",2007
-1,7099,9373,6252,Fool's Gold,"Action,Adventure,Comedy",112,57.0,60163.0,Andy Tennant,2008,Fool's Gold,"Action,Adventure,Comedy,Romance",112.0,62.0,356450,"Andy Tennant,",2008
-1,6785,8919,12247,Captain America,"Animation,Comedy",0,73.0,40.0,,2011,Battlefield America,"Drama,Musical,Performing Arts",106.0,64.0,4305,"Christopher B. Stokes,",2012
-1,7301,9678,8411,Roll Bounce,"Comedy,Drama,Musical",112,60.0,5617.0,Malcolm D. Lee,2005,Roll Bounce,"Comedy,Drama",118.0,68.0,56429,"Malcolm D. Lee,",2005
-1,4022,5169,14013,Saturday Night Live: Weekend Update Thursday,Comedy,0,72.0,514.0,,2008,Saturday Night Live: The Best of Eddie Murphy,Comedy,86.0,76.0,4633,"Dave Wilson,",1998
-1,11155,16973,6955,Honeymoon,"Horror,Mystery",87,56.0,17616.0,Leigh Janiak,2014,Honeymoon,Drama,87.0,60.0,5596,"Leigh Janiak,",2014
-1,4501,5923,3417,Last Day on Earth,Television,42,61.0,49.0,,2016,August 32nd on Earth,"Art House,International,Comedy,Drama,Romance",88.0,76.0,135,"Denis Villeneuve,",1998
-1,2352,2635,5814,Hidden in the Woods,Mystery,98,42.0,289.0,Patricio Valladares,2016,A Walk In The Woods,"Action,Adventure,Comedy,Drama",98.0,66.0,12410,"Ken Kwapis,",2015
-1,10114,14723,15490,Pond Life,"Short,Comedy,Sci-Fi",5,82.0,671.0,,2012,Country Life,"Art House,International,Comedy,Drama,Romance",114.0,62.0,1064,"Michael Blakemore,",1995
-1,8551,11953,3629,Bank Robber,"Comedy,Crime,Romance",91,44.0,248.0,Nick Mead,1993,Bank Robber,Comedy,91.0,,167,"Nick Mead,",1993
-1,2924,3284,4587,Me ests matando Susana,"Comedy,Drama,Romance",100,73.0,426.0,Roberto Sneider,2016,Me ests matando Susana,,102.0,76.0,44,"Roberto Sneider,",2016
-1,1958,2199,2794,American Psycho,"Crime,Drama",102,76.0,363447.0,Mary Harron,2000,American Psycho,"Comedy,Drama,Horror,Mystery",97.0,72.0,302616,"Mary Harron,",2000
-1,4375,5742,18776,First Blood,"Action,Adventure,Drama",93,77.0,174826.0,Ted Kotcheff,1982,First Blood,"Action,Adventure",96.0,70.0,138269,"Ted Kotcheff,",1982
-1,7467,9931,12601,Nick Fury,"Action,Adventure,Sci-Fi",0,,,,,Alien Fury,"Mystery,Science Fiction,Fantasy",120.0,,6,"Rob Hedden,",2000
-1,4958,6468,10282,The Weather Man,"Comedy,Drama",102,66.0,69683.0,Gore Verbinski,2005,The Best Man,"Comedy,Drama",120.0,74.0,30884,"Malcolm D. Lee,",1999
-1,2703,2954,11431,The Smoking Room,Comedy,30,80.0,632.0,,2004,Breathing Room,"Comedy,Drama,Romance",90.0,,9,"Jon Sherman,",1996
-1,10821,16447,3524,Million Dollar Listing NY,Television,0,73.0,863.0,,2012,Million Dollar Arm,"Comedy,Drama",124.0,74.0,35452,"Craig Gillespie,",2014
-1,10629,16003,1072,Dirty Dancing,"Drama,Musical,Romance",100,69.0,143791.0,Emile Ardolino,1987,Dirty Dancing,Drama,180.0,,11,,2016
-1,13453,21563,12824,The Chase,Television,60,77.0,308.0,,2013,The Paper Chase,"Classics,Drama",111.0,70.0,4445,"James Bridges,",1973
-1,2856,3209,840,Birds of America,"Comedy,Drama",85,62.0,4864.0,Craig Lucas,2010,Birds of America,"Comedy,Drama",85.0,62.0,2472,"Craig Lucas,",2008
-1,12739,19971,4250,The Land of the Enlightened,"Documentary,Drama,War",87,74.0,226.0,Pieter-Jan De Pue,2016,The Last of England,"Art House,International,Drama,Special Interest,Adult",87.0,70.0,1097,"Derek Jarman,",1987
-1,2886,3233,7916,American Crime,Drama,43,77.0,5848.0,John Ridley,2015,American Blood,Mystery,,,191,,2016
-1,7867,10611,501,Money Train,"Action,Comedy,Crime",110,56.0,32538.0,Joseph Ruben,1995,Runaway Train,"Action,Adventure,Drama",110.0,70.0,8024,"Andrey Konchalovskiy,",1985
-1,12663,19807,18230,The Way of the Dragon,"Action,Comedy,Crime",90,73.0,23359.0,Bruce Lee,1972,The End of the Line,"Documentary,Special Interest",90.0,70.0,3757,"Rupert Murray,",2009
-1,5695,7379,17287,The Haunted Mansion,Comedy,24,71.0,51.0,Doug Walker,2015,The Haunted Mansion Mystery,"Kids,Family,Mystery",42.0,,10,,1983
-1,5375,6928,3463,Blood River,"Drama,Western",92,57.0,113.0,Mel Damski,1991,Wind River,Mystery,,,30,"Taylor Sheridan,",2017
-1,7123,9397,4694,The New Boss,Comedy,30,68.0,31.0,Nancy Hower,2006,The New Guy,Comedy,82.0,60.0,66168,"Ed Decter,Edward Decter,",2002
-1,3665,4590,17963,A Kiss in the Snow,"Short,Drama,Romance",22,55.0,285.0,Frank Mosvold,1997,Kiss of the Sun,Horror,,,51,,2006
-1,83,94,119,Queen of Katwe,"Biography,Drama,Sport",124,72.0,1225.0,Mira Nair,2016,Queen of Katwe,Drama,124.0,84.0,8198,"Mira Nair,",2016
-1,8927,12501,16225,Secret Garden,"Comedy,Drama,Fantasy",60,85.0,2413.0,,2010,Secret Smile,"Art House,International,Drama,Mystery,Television",137.0,78.0,542,"Christopher Menaul,",2005
-1,11675,17734,16601,Hider in the House,Mystery,104,59.0,865.0,Matthew Patrick,1991,House in the South,"Action,Adventure,Drama",95.0,,0,,1974
-1,716,675,10736,Why Did I Get Married?,"Comedy,Drama",113,56.0,9908.0,Tyler Perry,2007,Why Did I Get Married?,"Comedy,Drama,Musical,Performing Arts",118.0,80.0,18165,"Tyler Perry,",2007
-1,5434,7004,6641,Sorority Row,"Horror,Mystery",101,51.0,24284.0,Stewart Hendler,2009,Sorority Row,Horror,101.0,46.0,525244,"Stewart Hendler,",2009
-1,5234,6762,6126,Big Business,Comedy,97,63.0,9155.0,Jim Abrahams,1988,Crooked Business,Comedy,95.0,58.0,24,"Chris Nyst,",2008
-1,3976,5114,11381,The Standoff,Comedy,90,51.0,146.0,Ilyssa Goodman,2016,The Standoff,Comedy,90.0,,6,"Ilyssa Goodman,",2016
-1,1310,1506,6148,Mission: Impossible,"Action,Adventure,Mystery",110,71.0,304750.0,Brian De Palma,1996,Mission: Impossible 2,"Action,Adventure,Mystery",123.0,60.0,450940,"John Woo,",2000
-1,4289,5527,12750,The Adventures of Supergirl,"Action,Adventure,Drama",42,87.0,1041.0,Glen Winter,2016,New Adventures of Mother Goose,"Kids,Family",42.0,,3,,1995
-1,7341,9746,17963,Tears of the Sea,"Action,Adventure,Fantasy",43,72.0,8.0,Michael Pattinson,2000,Kiss of the Sun,Horror,,,51,,2006
-1,6633,8654,10774,Almost Human,"Horror,Sci-Fi,Mystery",80,46.0,2328.0,Joe Begos,2014,Almost Salinas,"Comedy,Drama",92.0,,11,,2003
-1,9550,13627,2867,CBS This Morning,"News,Television",120,54.0,40.0,,1987,Son Of Morning,"Comedy,Drama",81.0,42.0,72,"Yanviz Raz,Yaniv Raz,",2011
-1,2593,2780,11292,Untitled Nash Edgerton Project,"Action,Comedy,Drama",0,,,Nash Edgerton,2017,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
-1,6400,8246,708,Breaking Point,"Crime,Drama",92,57.0,191.0,Bob Clark,1976,Boiling Point,"Action,Adventure,Art House,International,Drama,Mystery",92.0,54.0,10261,"James B. Harris,",1993
-1,8123,11168,2724,Starting Over,"Comedy,Romance",105,65.0,1689.0,Alan J. Pakula,1979,Starting Over,"Comedy,Romance",105.0,64.0,1345,"Alan J. Pakula,",1979
-1,11033,16866,17170,Lonely Boys,"Comedy,Drama,Romance",90,,,Dan Simon,2016,Ghouly Boys,Comedy,,,2,,
-1,3956,5094,17956,Dirty 30,Comedy,86,56.0,1002.0,Andrew Bush,2016,Dirty Lies,,94.0,,1,"Jamie Marshall,",2016
-1,12064,18599,11951,My American Uncle,"Comedy,Drama,Romance",125,80.0,3453.0,Alain Resnais,1980,American Made,Mystery,,,176,"Doug Liman,",2017
-1,8608,12031,10039,The Freshman,"Comedy,Crime",102,65.0,15982.0,Andrew Bergman,1990,The Freshman,"Comedy,Drama",102.0,62.0,11729,"Andrew Bergman,",1990
-1,4452,5863,12199,The Last Kingdom,"Action,History,Romance",60,83.0,20230.0,,2015,The Last Sign,"Horror,Mystery",85.0,54.0,1474,"Douglas Law,",2004
-1,8522,11915,9890,Being Human,"Comedy,Drama",122,54.0,3331.0,Bill Forsyth,1994,Being Julia,"Comedy,Drama",103.0,70.0,7507,"Istvn Szab,",2004
-1,9865,14127,5926,What's Cooking?,"Comedy,Drama,Romance",109,71.0,2277.0,Gurinder Chadha,2000,What's Cooking?,"Comedy,Drama",118.0,68.0,1508,"Gurinder Chadha,",2000
-1,8191,11314,7242,Demetrius and the Gladiators,"Action,Drama,History",101,66.0,2328.0,Delmer Daves,1954,Demetrius and the Gladiators,"Action,Adventure,Classics,Drama",101.0,64.0,4978,"Delmer Daves,",1954
-1,1029,1085,6640,X-Men: Evolution,"Animation,Action,Drama",23,79.0,6992.0,,2000,Dragonball Evolution,"Action,Adventure,Science Fiction,Fantasy",85.0,48.0,209898,"James Wong,",2009
-1,2725,2979,2103,Wyrd Sisters,"Animation,Comedy,Fantasy",140,72.0,703.0,,1997,Go For Sisters,Drama,122.0,64.0,336,"John Sayles,",2013
-1,8019,10922,16013,TV Nation,"Documentary,Comedy,News",60,63.0,460.0,,1994,Alien Nation,"Science Fiction,Fantasy",90.0,60.0,15844,"Graham Baker,",1988
-1,11048,16896,8365,Inhuman Condition,"Drama,Fantasy",0,84.0,21.0,,2016,Critical Condition,"Comedy,Documentary",99.0,56.0,2780,"Michael Apted,",1987
