label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,ltable_Year,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director,rtable_Year
1,8531,11923,16015,Bad Dreams,"Horror,Mystery",80,56,2441,Andrew Fleming,1988,Bad Dreams,Horror,84,62,1044,"Andrew Fleming,",1988
0,8030,10932,10503,Lucifer Rising,"Short,Fantasy",29,72,1884,Kenneth Anger,1974,Hate Rising,,60,,8,"Catherine Tambini,",2016
0,5371,6914,9830,25th Hour,Drama,135,77,151030,Spike Lee,2003,25th Hour,Drama,134,74,79805,"Spike Lee,",2003
1,1247,1401,8535,The Loud House,"Animation,Action,Comedy",22,79,676,Chris Savino,2016,The Good House,"Comedy,Drama",,,159,,2015
1,4096,5186,14555,Saturday Night Live: The Best of Eddie Murphy,"Documentary,Comedy",77,75,850,"Andy Breckman,Dave Wilson",,Saturday Night Live: The Best of Saturday TV Funhouse,"Comedy,Television",84,78,71,,2006
1,12216,18966,2934,For the Love of Spock,"Documentary,Biography",111,78,473,Adam Nimoy,2016,For the Love of Spock,Documentary,111,84,526,"Adam Nimoy,",2016
0,5918,7585,8787,It's a Wonderful Life,"Drama,Family,Fantasy",130,86,280147,Frank Capra,1947,It's a Wonderful Life,"Classics,Comedy,Drama,Kids,Family,Science Fiction,Fantasy",135,80,216955,"Frank Capra,",1946
0,731,687,8875,Poltergeist,"Fantasy,Horror",114,74,107698,Tobe Hooper,1982,Poltergeist,Horror,114,68,181435,"Tobe Hooper,",1982
0,6888,9129,11694,Wrath of the Titans,News,30,,,,2012,Weight of the Nation,Documentary,,84,24,"Dan Chaykin,",2012
0,2273,2560,11840,The Young Ones,Comedy,410,82,10633,,1982,The Young Visiters,"Comedy,Drama,Kids,Family,Television,Romance",90,70,261,,2003
0,9883,14168,3937,Conjunction Junction,"Animation,Family,Musical",4,93,38,,1973,Cemetery Junction,Comedy,95,68,13654,"Ricky Gervais,Stephen Merchant,",2010
1,5818,7490,16544,Gladiator,"Action,Adventure,Drama",155,85,999279,Ridley Scott,2000,Gladiator,"Action,Adventure,Drama",102,68,9758,"Rowdy Herrington,",1992
0,6253,8020,13765,Gods Behaving Badly,"Comedy,Drama",90,63,72,Marc Turtletaub,2013,Gods Behaving Badly,"Comedy,Drama",,,70,"Marc Turtletaub,",2012
0,6902,9144,17784,Main Street,Drama,92,47,2170,John Doyle,2012,Main Street,Drama,93,42,1817,"John Doyle,John W. Doyle,",2011
0,4647,6126,16383,George of the Jungle,"Animation,Adventure,Comedy",0,43,618,,2007,Secret of the Wings,"Action,Adventure,Animation,Kids,Family",92,82,2154,"Peggy Holmes,Robert Gannaway,",2012
0,11059,16912,7030,The Omega Man,"Action,Sci-Fi",98,66,22884,Boris Sagal,1971,The Wrong Man,"Drama,Mystery,Television,Romance",98,66,107,"Jim McBride,",1993
1,4298,5550,8759,The Fluffer of Seville,"Comedy,Musical,Television",60,75,11,,2011,The Triplets of Belleville,"Animation,Art House,International,Comedy,Drama",81,80,39976,"Sylvain Chomet,",2003
0,7485,9941,648,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,,Untitled Wikileaks/HBO Project,Drama,128,60,66,"Bill Condon,",2013
0,2862,3209,17103,Birds of America,"Comedy,Drama",85,62,4864,Craig Lucas,2010,Pride of Africa,Drama,,,5,"Herman Binge,",2009
0,11238,17160,17521,Love Me,Mystery,97,54,730,Rick Bota,2013,He Loves Me,"Drama,Television",,46,12,"Jeff Renfroe,",2011
0,4967,6474,1560,Iron Man,Comedy,0,74,40,,2015,Rain Man,Drama,133,76,312982,"Barry Levinson,",1988
0,10844,16495,465,Holes,"Adventure,Comedy,Drama",117,71,59030,Andrew Davis,2003,Holes,"Action,Adventure,Comedy,Kids,Family,Mystery",118,66,211357,"Andrew Davis,",2003
0,5941,7608,8369,Last Knights,"Action,Adventure",115,62,27935,Kazuaki Kiriya,2015,Last Fight,"Action,Adventure",88,,4,"Fred Williamson,",1983
1,2179,2447,664,Captain America: Civil War,,17,,,Mathew Buck,2016,Captain America: The First Avenger,"Action,Adventure,Mystery",124,74,183944,"Joe Johnston,",2011
0,7487,9941,4626,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
0,12581,19626,13089,The Drive,Comedy,28,81,165,Stephen Merchant,2013,Sex Drive,Comedy,129,68,74161,"Sean Anders,",2008
1,3923,5054,1140,The Fits,Drama,72,64,810,Anna Rose Holmer,2016,The Fits,Drama,72,68,1370,"Anna Rose Holmer,",2016
0,7204,9528,4626,Untitled Bill & Ted Project,Comedy,0,,,Dean Parisot,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
0,10049,14606,5558,The Young Turks,"Comedy,News,Television",120,70,799,Cenk Uygur,2005,The Young Messiah,"Musical,Performing Arts",,,139,,2007
1,6148,7894,96,The Accountant,"Comedy,Television",43,,,,2016,The Accountant,Drama,128,80,33264,"Gavin O'Connor,",2016
0,726,681,5675,The New Adventures of Superman,"Animation,Sci-Fi",30,76,415,,1966,The Adventures of Brer Rabbit,"Animation,Kids,Family",72,68,191,"Byron Vaughns,",2006
0,9551,13627,7191,CBS This Morning,"News,Television",120,54,40,,1987,April Morning,"Action,Adventure,Drama,Television",93,68,253,"Delbert Mann,",1988
0,67,63,11292,Untitled Max Landis Project,Adventure,0,,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
0,3861,4933,507,The Kelly File,"News,Television",60,52,253,,2013,The Odessa File,"Action,Adventure,Art House,International,Classics,Drama,Mystery",130,68,3165,"Ronald Neame,",1974
0,2196,2474,2648,Ghostbusters 2016,"Comedy,Television",51,,,,2016,Ghostbusters 2,"Comedy,Science Fiction,Fantasy",102,64,405977,"Ivan Reitman,",1989
0,3195,3753,7173,Match of the Day 2,Sport,45,78,518,,2004,Man of the House,"Action,Adventure,Comedy",100,60,61553,"Stephen Herek,",2005
0,4963,6471,17260,Assassin's Creed 2,"Action,Adventure,History",0,,,,,Assassin's Bullet,"Action,Adventure,Drama,Mystery",89,38,421,"Isaac Florentine,",2012
1,8788,12263,5125,The Man Who Wasn't There,"Crime,Drama",116,76,86916,"Joel Coen,Ethan Coen",2001,The Man Who Wasn't There,"Comedy,Drama,Romance",117,74,40889,"Joel Coen,",2001
1,5999,7664,3744,One True Thing,Drama,127,70,9403,Carl Franklin,1998,One Eyed King,Drama,105,56,90,"Robert Moresco,Nathaniel Ryan,",2001
0,12650,19776,14865,Street Hawk,"Action,Crime,Mystery",60,69,1919,"Paul M. Belous,Robert Wolterstorff,Bruce Lansbury",1985,Street Poet,Drama,87,,0,"E. Paul Edwards,",2010
0,3936,5069,7936,The Love Witch,"Comedy,Horror",120,67,146,Anna Biller,2016,The Love Inside,,90,,1,"Andy Irvine,Mark Smoot,",2015
0,5151,6677,3676,The Adventures of Nick,Animation,0,78,26,,2013,The Adventures of Pluto Nash,"Action,Adventure,Comedy,Science Fiction,Fantasy",94,40,32635,"Ron Underwood,",2002
1,10924,16637,13036,Spy Game,"Action,Crime,Mystery",126,70,122430,Tony Scott,2001,Poet Game,"Art House,International,Drama,Television",,,7,"Silvio Narizzano,",1972
0,8995,12636,1763,After Lately,Comedy,0,70,490,,2011,After Darkness,"Drama,Horror",104,,13,"Dominique Othenin-Girard,",1985
0,7384,9803,12298,The Invisible Man,"Comedy,Mystery,Sci-Fi",120,76,2436,,2000,The Invisible Circus,"Drama,Mystery",92,60,3688,"Adam Brooks,",2001
0,7144,9433,5125,The Man Who Forgot His Wife,Drama,0,,,,,The Man Who Wasn't There,"Comedy,Drama,Romance",117,74,40889,"Joel Coen,",2001
0,7701,10323,15988,"George Lopez: It's Not Me, It's You","Documentary,Comedy",56,56,174,Troy Miller,2012,"George Lopez: It's Not Me, It's You",Television,56,72,39,"Troy Miller,",2012
0,1065,1149,1242,Still Walking,Drama,115,80,7618,Hirokazu Koreeda,2008,Still Mine,Drama,102,80,8060,"Michael McGowan,",2013
0,10699,16200,3550,Mysteries at the Monument,"Biography,History,Mystery",60,77,187,,2013,Mysteries Of The Unseen World,"Documentary,Special Interest",40,80,188,"Louis Schwartzberg,",2013
1,9578,13656,7720,American Me,"Biography,Crime,Drama",125,72,5967,Edward James Olmos,1992,American Me,Drama,126,82,10214,"Edward James Olmos,",1992
0,5320,6843,15387,Father of the Bride Part II,"Comedy,Family,Romance",106,59,27000,Charles Shyer,1995,Mother of the Bride,Comedy,95,,77,"Charles Correll,",1993
0,8224,11349,13437,Shadow Conspiracy,"Action,Mystery",103,49,3827,George P. Cosmatos,1997,Shadow Conspiracy,"Action,Adventure,Drama,Mystery",103,52,2937,"George P. Cosmatos,",1997
0,2563,2764,237,Alien: Covenant,"Action,Adventure,Horror",0,,,Ridley Scott,2017,Alien: Covenant,"Action,Adventure,Mystery,Science Fiction,Fantasy",120,,17243,"Ridley Scott,",2017
0,3675,4610,18871,A Bride for Rip Van Winkle,"Drama,Mystery,Romance",179,74,263,Shunji Iwai,2016,Rabbit Ears - Rip Van Winkle,"Animation,Kids,Family,Special Interest",30,,5,,1993
0,6765,8907,18373,Captain America,"Action,Sci-Fi,War",97,33,8717,Albert Pyun,1990,Captain America,"Action,Adventure,Mystery,Science Fiction,Fantasy",103,42,10609,"Albert Pyun,",1990
0,3906,5002,15042,My America,Drama,0,63,119,Marcello Daciano,2010,Our America,Drama,95,70,451,"Ernest R. Dickerson,",2002
1,605,593,4293,The Bourne Ultimatum,"Action,Mystery",115,81,500818,Paul Greengrass,2007,The Bourne Ultimatum,"Action,Adventure,Drama,Mystery",115,82,1921607,"Paul Greengrass,",2007
1,521,500,13646,Just Visiting,"Comedy,Fantasy,Sci-Fi",88,58,15317,Jean-Marie Poir,2001,Just Visiting,Comedy,87,58,9454,"Jean-Marie Poir,Jean-Marie Gaubert,",2001
1,8137,11192,3970,Taxi 4,"Action,Comedy",91,56,20224,Grard Krawczyk,2007,Taxi 3,"Action,Adventure",84,64,9323,"Grard Krawczyk,",2003
0,4935,6443,9823,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",169,71,477886,Gore Verbinski,2007,Pirates of the Caribbean: The Curse of the Black Pearl,"Action,Adventure,Science Fiction,Fantasy",143,78,33123343,"Gore Verbinski,",2003
0,13402,21502,4563,All Night,"Comedy,Drama",58,61,46,Paul Powell,1918,Prom Night,Horror,91,58,20022,"Paul Lynch,",1980
0,9940,14283,2955,That Darn Cat,"Action,Comedy,Crime",89,46,3356,Bob Spiers,1997,That Darn Cat,"Action,Adventure,Art House,International,Comedy,Kids,Family",89,50,15345,"Bob Spiers,",1997
1,10779,16362,2138,You've Been Trumped,Documentary,95,76,1818,Anthony Baxter,2012,You've Been Trumped Too,Documentary,78,62,36,"Anthony Baxter,",2016
0,1181,1333,11292,Untitled Shimit Amin/YRF Project,Drama,0,,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
0,8741,12218,2374,The Return of Sabata,Western,100,57,1251,Gianfranco Parolini,1971,The Wizard of Malta,"Documentary,Special Interest",,,31,"Alex Roshuk,",1981
0,1327,1517,2461,The Delivery Man,Comedy,30,73,470,,2015,The Ladies Man,Comedy,84,52,21146,"Reginald Hudlin,",2000
0,2453,2705,18478,American Blood,"Crime,Drama",0,,,,,American Legends,"Animation,Kids,Family",56,62,5910,"Mark Henn,",2001
1,6299,8068,280,Miss Julie,"Drama,Romance",129,56,3030,Liv Ullmann,2014,Miss Julie,Drama,133,50,570,"Liv Ullmann,",2014
0,9294,13119,15955,The Great Gatsby,News,30,,,,2013,The Great Outdoors,Comedy,91,66,47995,"Howard Deutch,",1988
1,6131,7874,2156,The Intervention,"Comedy,Drama",90,61,1426,Clea DuVall,2016,The Intervention,"Comedy,Drama",90,68,1560,"Clea DuVall,",2016
1,9852,14112,18613,Let Me In,"Drama,Fantasy,Horror",116,72,93524,Matt Reeves,2010,Lift Me Up,Drama,,,6,"Mark S. Cartier,",2015
0,1851,2097,8226,In Search of...,"Documentary,Sci-Fi",30,86,598,,1976,In Search of America,Drama,75,58,16,"Paul Bogart,",1971
0,12707,19873,18594,The Other,Drama,83,60,455,Ariel Rotter,2007,The Other Man,Drama,80,50,4498,"Richard Eyre,",2008
0,12668,19812,1617,Mississippi Grind,Drama,108,63,10842,"Anna Boden,Ryan Fleck",2015,Mississippi Grind,Drama,108,66,8015,"Ryan Fleck,Anna Boden,",2015
1,1583,1716,5979,Austin Powers: The Spy Who Shagged Me,"Action,Adventure,Comedy",95,66,182887,Jay Roach,1999,Austin Powers: The Spy Who Shagged Me,"Comedy,Romance",105,66,941702,"Jay Roach,",1999
1,7235,9565,1833,Erased,"Action,Mystery",100,61,23936,Philipp Stlzl,2012,Erased,"Action,Adventure,Mystery",104,60,10728,"Philipp Stlzl,",2013
0,2726,2979,3317,Wyrd Sisters,"Animation,Comedy,Fantasy",140,72,703,,1997,Speed Sisters,Documentary,80,,38,"Amber Fares,Amber Fares,",2017
1,13230,21160,12002,The Music Teacher,Drama,0,,,,,The Music Machine,"Drama,Musical,Performing Arts",90,,60,"Ian Sharp,",1979
0,3129,3626,16669,Aankhen 2,Mystery,0,,,Anees Bazmee,,Taken 2,Mystery,92,68,212002,"Olivier Megaton,",2012
1,5713,7394,449,Transformers,"Action,Adventure,Sci-Fi",144,71,517565,Michael Bay,2007,Transformers,"Action,Adventure,Science Fiction,Fantasy",143,82,2383416,"Michael Bay,",2007
0,7099,9373,6252,Fool's Gold,"Action,Adventure,Comedy",112,57,60163,Andy Tennant,2008,Fool's Gold,"Action,Adventure,Comedy,Romance",112,62,356450,"Andy Tennant,",2008
0,6785,8919,12247,Captain America,"Animation,Comedy",0,73,40,,2011,Battlefield America,"Drama,Musical,Performing Arts",106,64,4305,"Christopher B. Stokes,",2012
1,7301,9678,8411,Roll Bounce,"Comedy,Drama,Musical",112,60,5617,Malcolm D. Lee,2005,Roll Bounce,"Comedy,Drama",118,68,56429,"Malcolm D. Lee,",2005
0,4022,5169,14013,Saturday Night Live: Weekend Update Thursday,Comedy,0,72,514,,2008,Saturday Night Live: The Best of Eddie Murphy,Comedy,86,76,4633,"Dave Wilson,",1998
1,11155,16973,6955,Honeymoon,"Horror,Mystery",87,56,17616,Leigh Janiak,2014,Honeymoon,Drama,87,60,5596,"Leigh Janiak,",2014
0,4501,5923,3417,Last Day on Earth,Television,42,61,49,,2016,August 32nd on Earth,"Art House,International,Comedy,Drama,Romance",88,76,135,"Denis Villeneuve,",1998
1,2352,2635,5814,Hidden in the Woods,Mystery,98,42,289,Patricio Valladares,2016,A Walk In The Woods,"Action,Adventure,Comedy,Drama",98,66,12410,"Ken Kwapis,",2015
0,10114,14723,15490,Pond Life,"Short,Comedy,Sci-Fi",5,82,671,,2012,Country Life,"Art House,International,Comedy,Drama,Romance",114,62,1064,"Michael Blakemore,",1995
1,8551,11953,3629,Bank Robber,"Comedy,Crime,Romance",91,44,248,Nick Mead,1993,Bank Robber,Comedy,91,,167,"Nick Mead,",1993
1,2924,3284,4587,Me ests matando Susana,"Comedy,Drama,Romance",100,73,426,Roberto Sneider,2016,Me ests matando Susana,,102,76,44,"Roberto Sneider,",2016
0,1958,2199,2794,American Psycho,"Crime,Drama",102,76,363447,Mary Harron,2000,American Psycho,"Comedy,Drama,Horror,Mystery",97,72,302616,"Mary Harron,",2000
0,4375,5742,18776,First Blood,"Action,Adventure,Drama",93,77,174826,Ted Kotcheff,1982,First Blood,"Action,Adventure",96,70,138269,"Ted Kotcheff,",1982
0,7467,9931,12601,Nick Fury,"Action,Adventure,Sci-Fi",0,,,,,Alien Fury,"Mystery,Science Fiction,Fantasy",120,,6,"Rob Hedden,",2000
1,4958,6468,10282,The Weather Man,"Comedy,Drama",102,66,69683,Gore Verbinski,2005,The Best Man,"Comedy,Drama",120,74,30884,"Malcolm D. Lee,",1999
0,2703,2954,11431,The Smoking Room,Comedy,30,80,632,,2004,Breathing Room,"Comedy,Drama,Romance",90,,9,"Jon Sherman,",1996
0,10821,16447,3524,Million Dollar Listing NY,Television,0,73,863,,2012,Million Dollar Arm,"Comedy,Drama",124,74,35452,"Craig Gillespie,",2014
0,10629,16003,1072,Dirty Dancing,"Drama,Musical,Romance",100,69,143791,Emile Ardolino,1987,Dirty Dancing,Drama,180,,11,,2016
0,13453,21563,12824,The Chase,Television,60,77,308,,2013,The Paper Chase,"Classics,Drama",111,70,4445,"James Bridges,",1973
0,2856,3209,840,Birds of America,"Comedy,Drama",85,62,4864,Craig Lucas,2010,Birds of America,"Comedy,Drama",85,62,2472,"Craig Lucas,",2008
0,12739,19971,4250,The Land of the Enlightened,"Documentary,Drama,War",87,74,226,Pieter-Jan De Pue,2016,The Last of England,"Art House,International,Drama,Special Interest,Adult",87,70,1097,"Derek Jarman,",1987
0,2886,3233,7916,American Crime,Drama,43,77,5848,John Ridley,2015,American Blood,Mystery,,,191,,2016
1,7867,10611,501,Money Train,"Action,Comedy,Crime",110,56,32538,Joseph Ruben,1995,Runaway Train,"Action,Adventure,Drama",110,70,8024,"Andrey Konchalovskiy,",1985
0,12663,19807,18230,The Way of the Dragon,"Action,Comedy,Crime",90,73,23359,Bruce Lee,1972,The End of the Line,"Documentary,Special Interest",90,70,3757,"Rupert Murray,",2009
1,5695,7379,17287,The Haunted Mansion,Comedy,24,71,51,Doug Walker,2015,The Haunted Mansion Mystery,"Kids,Family,Mystery",42,,10,,1983
1,5375,6928,3463,Blood River,"Drama,Western",92,57,113,Mel Damski,1991,Wind River,Mystery,,,30,"Taylor Sheridan,",2017
0,7123,9397,4694,The New Boss,Comedy,30,68,31,Nancy Hower,2006,The New Guy,Comedy,82,60,66168,"Ed Decter,Edward Decter,",2002
1,3665,4590,17963,A Kiss in the Snow,"Short,Drama,Romance",22,55,285,Frank Mosvold,1997,Kiss of the Sun,Horror,,,51,,2006
1,83,94,119,Queen of Katwe,"Biography,Drama,Sport",124,72,1225,Mira Nair,2016,Queen of Katwe,Drama,124,84,8198,"Mira Nair,",2016
0,8927,12501,16225,Secret Garden,"Comedy,Drama,Fantasy",60,85,2413,,2010,Secret Smile,"Art House,International,Drama,Mystery,Television",137,78,542,"Christopher Menaul,",2005
1,11675,17734,16601,Hider in the House,Mystery,104,59,865,Matthew Patrick,1991,House in the South,"Action,Adventure,Drama",95,,0,,1974
1,716,675,10736,Why Did I Get Married?,"Comedy,Drama",113,56,9908,Tyler Perry,2007,Why Did I Get Married?,"Comedy,Drama,Musical,Performing Arts",118,80,18165,"Tyler Perry,",2007
0,5434,7004,6641,Sorority Row,"Horror,Mystery",101,51,24284,Stewart Hendler,2009,Sorority Row,Horror,101,46,525244,"Stewart Hendler,",2009
0,5234,6762,6126,Big Business,Comedy,97,63,9155,Jim Abrahams,1988,Crooked Business,Comedy,95,58,24,"Chris Nyst,",2008
1,3976,5114,11381,The Standoff,Comedy,90,51,146,Ilyssa Goodman,2016,The Standoff,Comedy,90,,6,"Ilyssa Goodman,",2016
0,1310,1506,6148,Mission: Impossible,"Action,Adventure,Mystery",110,71,304750,Brian De Palma,1996,Mission: Impossible 2,"Action,Adventure,Mystery",123,60,450940,"John Woo,",2000
0,4289,5527,12750,The Adventures of Supergirl,"Action,Adventure,Drama",42,87,1041,Glen Winter,2016,New Adventures of Mother Goose,"Kids,Family",42,,3,,1995
0,7341,9746,17963,Tears of the Sea,"Action,Adventure,Fantasy",43,72,8,Michael Pattinson,2000,Kiss of the Sun,Horror,,,51,,2006
0,6633,8654,10774,Almost Human,"Horror,Sci-Fi,Mystery",80,46,2328,Joe Begos,2014,Almost Salinas,"Comedy,Drama",92,,11,,2003
0,9550,13627,2867,CBS This Morning,"News,Television",120,54,40,,1987,Son Of Morning,"Comedy,Drama",81,42,72,"Yanviz Raz,Yaniv Raz,",2011
0,2593,2780,11292,Untitled Nash Edgerton Project,"Action,Comedy,Drama",0,,,Nash Edgerton,2017,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
0,6400,8246,708,Breaking Point,"Crime,Drama",92,57,191,Bob Clark,1976,Boiling Point,"Action,Adventure,Art House,International,Drama,Mystery",92,54,10261,"James B. Harris,",1993
1,8123,11168,2724,Starting Over,"Comedy,Romance",105,65,1689,Alan J. Pakula,1979,Starting Over,"Comedy,Romance",105,64,1345,"Alan J. Pakula,",1979
1,11033,16866,17170,Lonely Boys,"Comedy,Drama,Romance",90,,,Dan Simon,2016,Ghouly Boys,Comedy,,,2,,
0,3956,5094,17956,Dirty 30,Comedy,86,56,1002,Andrew Bush,2016,Dirty Lies,,94,,1,"Jamie Marshall,",2016
0,12064,18599,11951,My American Uncle,"Comedy,Drama,Romance",125,80,3453,Alain Resnais,1980,American Made,Mystery,,,176,"Doug Liman,",2017
1,8608,12031,10039,The Freshman,"Comedy,Crime",102,65,15982,Andrew Bergman,1990,The Freshman,"Comedy,Drama",102,62,11729,"Andrew Bergman,",1990
0,4452,5863,12199,The Last Kingdom,"Action,History,Romance",60,83,20230,,2015,The Last Sign,"Horror,Mystery",85,54,1474,"Douglas Law,",2004
1,8522,11915,9890,Being Human,"Comedy,Drama",122,54,3331,Bill Forsyth,1994,Being Julia,"Comedy,Drama",103,70,7507,"Istvn Szab,",2004
1,9865,14127,5926,What's Cooking?,"Comedy,Drama,Romance",109,71,2277,Gurinder Chadha,2000,What's Cooking?,"Comedy,Drama",118,68,1508,"Gurinder Chadha,",2000
0,8191,11314,7242,Demetrius and the Gladiators,"Action,Drama,History",101,66,2328,Delmer Daves,1954,Demetrius and the Gladiators,"Action,Adventure,Classics,Drama",101,64,4978,"Delmer Daves,",1954
0,1029,1085,6640,X-Men: Evolution,"Animation,Action,Drama",23,79,6992,,2000,Dragonball Evolution,"Action,Adventure,Science Fiction,Fantasy",85,48,209898,"James Wong,",2009
0,2725,2979,2103,Wyrd Sisters,"Animation,Comedy,Fantasy",140,72,703,,1997,Go For Sisters,Drama,122,64,336,"John Sayles,",2013
0,8019,10922,16013,TV Nation,"Documentary,Comedy,News",60,63,460,,1994,Alien Nation,"Science Fiction,Fantasy",90,60,15844,"Graham Baker,",1988
0,11048,16896,8365,Inhuman Condition,"Drama,Fantasy",0,84,21,,2016,Critical Condition,"Comedy,Documentary",99,56,2780,"Michael Apted,",1987
1,7561,10071,10424,Smokin' Aces 2: Assassins' Ball,"Action,Comedy,Crime",86,51,10967,P.J. Pesce,2010,Smokin' Aces 2: Assassin's Ball,"Action,Adventure,Comedy,Drama",89,52,3366,"P.J. Pesce,",2010
0,6573,8576,10912,Megan Is Missing,"Crime,Drama,Horror",85,49,6312,Michael Goi,2011,Megan Is Missing,Drama,86,54,1136,"Michael Goi,Michael K. Goi,",2011
1,2225,2512,6847,Jeepers Creepers II,Horror,104,56,45829,Victor Salva,2003,Jeepers Creepers,"Horror,Mystery",89,58,391553,"Victor Salva,",2001
0,6889,9129,13478,Wrath of the Titans,News,30,,,,2012,Band of the Hand,"Action,Adventure,Drama,Mystery",109,66,2711,"Paul Michael Glaser,",1986
1,8869,12455,8959,The Class,Drama,128,75,29507,Laurent Cantet,2009,The Class,"Art House,International,Drama",128,76,12447,"Laurent Cantet,",2008
0,9584,13658,4348,Bad Boys,"Crime,Drama,Mystery",123,72,10973,Rick Rosenthal,1983,Nasty Boys,"Drama,Mystery,Television",96,,38,"Rick Rosenthal,",1989
0,5722,7397,3358,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",165,57,245694,Michael Bay,2014,Transformers: Age of Extinction,"Action,Adventure,Science Fiction,Fantasy",157,64,222895,"Michael Bay,",2014
0,8826,12343,5300,King Kong,"Adventure,Fantasy,Horror",134,58,22712,John Guillermin,1976,King Kong Lives,"Action,Adventure,Horror",105,54,11914,"John Guillermin,",1986
1,6355,8164,1414,Fading Gigolo,Comedy,90,62,19761,John Turturro,2014,Fading Gigolo,Comedy,90,62,7063,"John Turturro,",2014
0,8027,10926,17710,The Big One,"Documentary,Comedy,Crime",91,71,7055,Michael Moore,1998,The Big Sleep,"Art House,International,Drama,Mystery",99,58,1444,"Michael Winner,",1978
0,11498,17485,13986,American Greed,Documentary,0,82,194,,2007,American Crude,"Comedy,Drama",98,44,652,"Craig Sheffer,",2008
0,2717,2964,16844,Uncle,Comedy,30,78,1460,,2012,Uncle P,"Comedy,Kids,Family",88,82,721,"Bernard Gourley,Master P,",2005
0,9155,12901,11292,Untitled Marvel Project,,0,,,,2020,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
0,7232,9562,6919,The Raven,"Crime,Mystery",110,64,73507,James McTeigue,2012,The Raven,Mystery,110,64,102450,"James McTeigue,",2012
